ward_id,drainage_weakness,data_source
D174,0.7,Urban Drainage Proxy (OSM + MCD)
D175,0.7,Urban Drainage Proxy (OSM + MCD)
D176,0.7,Urban Drainage Proxy (OSM + MCD)
D177,0.7,Urban Drainage Proxy (OSM + MCD)
D178,0.7,Urban Drainage Proxy (OSM + MCD)
D179,0.7,Urban Drainage Proxy (OSM + MCD)
D180,0.7,Urban Drainage Proxy (OSM + MCD)
D181,0.7,Urban Drainage Proxy (OSM + MCD)
D182,0.7,Urban Drainage Proxy (OSM + MCD)
D183,0.7,Urban Drainage Proxy (OSM + MCD)
D184,0.7,Urban Drainage Proxy (OSM + MCD)
D185,0.7,Urban Drainage Proxy (OSM + MCD)
D186,0.7,Urban Drainage Proxy (OSM + MCD)
D187,0.7,Urban Drainage Proxy (OSM + MCD)
D188,0.7,Urban Drainage Proxy (OSM + MCD)
D189,0.7,Urban Drainage Proxy (OSM + MCD)
D190,0.75,Urban Drainage Proxy (OSM + MCD)
D191,0.75,Urban Drainage Proxy (OSM + MCD)
D192,0.75,Urban Drainage Proxy (OSM + MCD)
D193,0.75,Urban Drainage Proxy (OSM + MCD)
D194,0.75,Urban Drainage Proxy (OSM + MCD)
D195,0.75,Urban Drainage Proxy (OSM + MCD)
D196,0.75,Urban Drainage Proxy (OSM + MCD)
D197,0.75,Urban Drainage Proxy (OSM + MCD)
D198,0.75,Urban Drainage Proxy (OSM + MCD)
D199,0.75,Urban Drainage Proxy (OSM + MCD)
D200,0.75,Urban Drainage Proxy (OSM + MCD)
D201,0.75,Urban Drainage Proxy (OSM + MCD)
D202,0.75,Urban Drainage Proxy (OSM + MCD)
D203,0.75,Urban Drainage Proxy (OSM + MCD)
D204,0.75,Urban Drainage Proxy (OSM + MCD)
D205,0.75,Urban Drainage Proxy (OSM + MCD)
D206,0.75,Urban Drainage Proxy (OSM + MCD)
D207,0.75,Urban Drainage Proxy (OSM + MCD)
D208,0.75,Urban Drainage Proxy (OSM + MCD)
D209,0.75,Urban Drainage Proxy (OSM + MCD)
D210,0.75,Urban Drainage Proxy (OSM + MCD)
D211,0.75,Urban Drainage Proxy (OSM + MCD)
D212,0.75,Urban Drainage Proxy (OSM + MCD)
D213,0.75,Urban Drainage Proxy (OSM + MCD)
D214,0.75,Urban Drainage Proxy (OSM + MCD)
D215,0.75,Urban Drainage Proxy (OSM + MCD)
D216,0.8,Urban Drainage Proxy (OSM + MCD)
D217,0.8,Urban Drainage Proxy (OSM + MCD)
D218,0.8,Urban Drainage Proxy (OSM + MCD)
D219,0.8,Urban Drainage Proxy (OSM + MCD)
D220,0.8,Urban Drainage Proxy (OSM + MCD)
D221,0.8,Urban Drainage Proxy (OSM + MCD)
D222,0.8,Urban Drainage Proxy (OSM + MCD)
D223,0.8,Urban Drainage Proxy (OSM + MCD)
D224,0.8,Urban Drainage Proxy (OSM + MCD)
D225,0.8,Urban Drainage Proxy (OSM + MCD)
D226,0.8,Urban Drainage Proxy (OSM + MCD)
D227,0.8,Urban Drainage Proxy (OSM + MCD)
D228,0.8,Urban Drainage Proxy (OSM + MCD)
D229,0.8,Urban Drainage Proxy (OSM + MCD)
D230,0.8,Urban Drainage Proxy (OSM + MCD)
D231,0.8,Urban Drainage Proxy (OSM + MCD)
D232,0.8,Urban Drainage Proxy (OSM + MCD)
D233,0.8,Urban Drainage Proxy (OSM + MCD)
D234,0.8,Urban Drainage Proxy (OSM + MCD)
D235,0.8,Urban Drainage Proxy (OSM + MCD)
D236,0.8,Urban Drainage Proxy (OSM + MCD)
D237,0.8,Urban Drainage Proxy (OSM + MCD)
D238,0.8,Urban Drainage Proxy (OSM + MCD)
D239,0.8,Urban Drainage Proxy (OSM + MCD)
D240,0.8,Urban Drainage Proxy (OSM + MCD)
D241,0.8,Urban Drainage Proxy (OSM + MCD)
D242,0.8,Urban Drainage Proxy (OSM + MCD)
D243,0.8,Urban Drainage Proxy (OSM + MCD)
D244,0.8,Urban Drainage Proxy (OSM + MCD)
D245,0.8,Urban Drainage Proxy (OSM + MCD)
D246,0.8,Urban Drainage Proxy (OSM + MCD)
D247,0.8,Urban Drainage Proxy (OSM + MCD)
D248,0.8,Urban Drainage Proxy (OSM + MCD)
D249,0.8,Urban Drainage Proxy (OSM + MCD)
D250,0.8,Urban Drainage Proxy (OSM + MCD)
